French_keywords	English_keywords
Imagerie médicale	Medical Imaging
Immunogénétique	Immunogenetics
Immunoinformatique	Immunoinformatics
Inférence de protéine et validation	Protein inference and validation
Inférence et analyse des réseaux biologiques	Inference and analysis of biological networks
Intégration de données	Data integration
Intégration de données hétérogènes	Intégration de données hétérogènes
Intégration d'outils	Tool integration
Interfaces, portails web	Interfaces, web portals
Interopérabilité	Interoperability,
Langage Perl	Perl language
Langage Python	Python language
Langage R	R language
Langages de Programmation & Computer Sciences	Programming Languages & Computer Sciences
Librairies de petits composés chimiques, 2D/3D, ADME/tox	Small chemical compound libraries, 2D/3D, ADME/tox
Linux	Linux
Localisation de QTL	QTL localization
Métabolomique et fluxomique	Metabolomics and fluxomics
Metagénomique	Metagenomics
Métagénomique, métatranscriptomique	Metagenomics, metatranscriptomics
Méthodologie	Methodology
Microscopie	Microscopy
Modélisation comparative et de novo de structures	Structure comparative and de novo modelling
Modélisation des interactions protéines/protéines, protéines/peptides et protéines/acides nucléiques	Modeling of protein/protein, protein/peptide and protein/nucleic acid interactions
Modélisation des réseaux de régulation	Modeling of regulation networks
Modélisation des réseaux métaboliques	Modeling of metabolic networks
Modélisation des systèmes	System modeling
Modélisation en écologie	Modeling in ecology
Modifications post-traductionnelles	Post-translational modifications
Ontologies	Ontologies
Outils	Tools
Paléogénomique et génomes ancestraux	Paleogenomics and ancestral genomes
Panels (amplicons, captures)	Panels (amplicons, captures)
Parallélisation	Parallelization
Petits et longs ARN non-codants	Small and long non-coding RNA
Phylogénétiques	Phylogenetics
Phylogénie	Phylogeny
Phylogénomique	Phylogenomics
Prédiction d'homologie/orthologie	Homology/orthology prediction
Prédictions des propriétés structurales	Predictions of structural properties
Profils de méthylation	Methylation profiles
Protéogénomique	Proteogenomics
Protéomique	Proteomics
Protéomique quantitative	Quantitative proteomics
Quantification	Quantification
Recherche de motifs	Search for patterns
Réduction de dimension	Dimension reduction
Régression	Regression
Représentation des connaissances	Knowledge representation
Statistique descriptive	Descriptive statistics
Statistique génétique	Genetic statistics
Statistiques exploratoires	Exploratory statistics
Statistiques inférentielles	Inferential statistics
Super-arbres et réconciliations	Supertrees and reconciliations
Systèmes dynamiques	Dynamic systems
Tests statistiques	Statistical tests
Tiling	Tiling
Traitement du signal	Signal processing
Transcriptomique (RNA-seq)	Transcriptomics (RNA-seq)
Visualisation	Visualisation
Web sémantique	Web semantic
